hog_count	run	passes	logical_MiBps	logical_GBps	imc_read_MiB	imc_write_MiB	imc_total_MiB	physical_MiBps	physical_GBps
1	1	581	22310.400	23.394	219476.720000	71854.690000	291331.410	29133.141	30.548
1	2	581	22310.400	23.394	218274.670000	71385.850000	289660.520	28966.052	30.373
1	3	580	22272.000	23.354	218538.590000	71115.520000	289654.110	28965.411	30.372
2	1	627	24076.800	25.246	222730.300000	77915.220000	300645.520	30064.552	31.525
2	2	627	24076.800	25.246	222959.910000	77829.310000	300789.220	30078.922	31.540
2	3	627	24076.800	25.246	222932.460000	77857.250000	300789.710	30078.971	31.540
4	1	813	31219.200	32.736	204900.400000	103337.260000	308237.660	30823.766	32.321
4	2	814	31257.600	32.776	205259.770000	103289.420000	308549.190	30854.919	32.354
4	3	814	31257.600	32.776	205045.140000	103445.680000	308490.820	30849.082	32.348
6	1	816	31334.400	32.856	206368.610000	103627.710000	309996.320	30999.632	32.505
6	2	819	31449.600	32.977	207065.090000	103958.710000	311023.800	31102.380	32.613
6	3	818	31411.200	32.937	207327.710000	103948.710000	311276.420	31127.642	32.640
