run	condition	victim_size_MiB	victim_seconds	elapsed_sec	total_reads	ns_per_read
1	none	64	10	10.007403	132300000	75.642
1	hog1	64	10	10.007703	54700000	182.956
1	hog4	64	10	10.001387	29700000	336.747
1	bfs	64	10	10.006082	59100000	169.308
1	pr	64	10	10.011914	68900000	145.311
2	hog1	64	10	10.007675	56000000	178.708
2	hog4	64	10	10.027005	29800000	336.477
2	bfs	64	10	10.006623	60700000	164.854
2	pr	64	10	10.010850	70200000	142.605
2	none	64	10	10.000375	132300000	75.589
3	hog4	64	10	10.018485	29700000	337.323
3	bfs	64	10	10.001457	59800000	167.248
3	pr	64	10	10.013724	69100000	144.916
3	none	64	10	10.000015	132200000	75.643
3	hog1	64	10	10.000906	55800000	179.228
4	bfs	64	10	10.002981	60400000	165.612
4	pr	64	10	10.001505	69500000	143.907
4	none	64	10	10.005417	132300000	75.627
4	hog1	64	10	10.015985	55200000	181.449
4	hog4	64	10	10.017860	29700000	337.302
5	pr	64	10	10.011829	68900000	145.310
5	none	64	10	10.007114	132000000	75.811
5	hog1	64	10	10.016567	56200000	178.231
5	hog4	64	10	10.007428	29700000	336.950
5	bfs	64	10	10.014482	61300000	163.368
