seed	order	none_ns	high_ns	low_ns	high_vs_none_pct	low_vs_none_pct	high_vs_low_pct	high_Mload_per_sec	low_Mload_per_sec	high_low_rate_ratio
20260814	none,high,low	101.342	134.790	118.670	33.005	17.099	13.584	123.618	124.006	0.996871
20260814	none,low,high	101.694	133.298	118.970	31.078	16.988	12.043	121.564	125.295	0.970222
20260815	none,high,low	102.162	137.509	120.113	34.599	17.571	14.483	121.339	121.324	1.000124
20260815	none,low,high	102.514	135.867	119.944	32.535	17.003	13.275	118.896	120.148	0.989580
20260816	none,high,low	101.818	137.355	120.204	34.902	18.058	14.268	121.239	122.915	0.986365
20260816	none,low,high	101.749	135.404	121.194	33.076	19.111	11.725	119.208	124.734	0.955698
20260817	none,high,low	100.601	133.353	116.396	32.556	15.701	14.568	123.588	121.820	1.014513
20260817	none,low,high	100.339	133.869	117.317	33.417	16.921	14.109	122.623	120.537	1.017306
20260818	none,high,low	100.468	131.969	115.455	31.354	14.917	14.303	122.604	122.306	1.002437
20260818	none,low,high	101.417	134.965	118.419	33.079	16.764	13.972	124.182	123.812	1.002988
