direction	condition	shared_classes	shared_class_fraction	weighted_jaccard	victim_elapsed_sec	victim_reads	victim_ns_per_read	aggressor_elapsed_sec	aggressor_passes	aggressor_load_ops	aggressor_Mload_per_sec
forward	none	0	0.000000	0.000000	10.000241	98795520	101.222	0.000000	0	0	0.000
forward	o0	0	0.000000	0.000000	10.000506	83656704	119.542	10.000046	1205	1264320512	126.431
forward	o25	4	0.250000	0.142857	10.000122	81657856	122.464	10.000050	1184	1242251264	124.225
forward	o50	8	0.500000	0.333333	10.000401	78626816	127.188	10.000098	1191	1249394688	124.938
forward	o75	12	0.750000	0.600000	10.000302	77082624	129.735	10.000087	1170	1227866112	122.786
forward	o100	16	1.000000	1.000000	10.000070	74702848	133.865	10.000040	1169	1226686464	122.668
reverse	none	0	0.000000	0.000000	10.000396	98697216	101.324	0.000000	0	0	0.000
reverse	o100	16	1.000000	1.000000	10.000003	73891840	135.333	10.000076	1191	1249411072	124.940
reverse	o75	12	0.750000	0.600000	10.000190	77127680	129.658	10.000100	1168	1225228288	122.522
reverse	o50	8	0.500000	0.333333	10.000283	79810560	125.300	10.000015	1168	1225244672	122.524
reverse	o25	4	0.250000	0.142857	10.000368	81182720	123.183	10.000004	1190	1248231424	124.823
reverse	o0	0	0.000000	0.000000	10.000235	84480000	118.374	10.000016	1193	1251033088	125.103
