seed	order	none_ns	uncontrolled_ns	selective_ns	all_ns	selective_recovery_pct	all_recovery_pct	selective_vs_all_latency_pct	uncontrolled_bg	selective_bg	all_bg	selective_bg_retention_pct	all_bg_retention_pct	selective_bg_gain_vs_all_pct	uncontrolled_high	uncontrolled_low	selective_high	selective_low
20260814	none,uncontrolled,selective,all	101.323	144.901	129.019	124.295	36.445	47.285	3.801	217.215	165.561	108.527	76.220	49.963	52.553	108.809	108.406	51.460	114.101
20260814	all,selective,uncontrolled,none	100.748	142.699	128.393	124.190	34.102	44.121	3.384	216.910	165.578	108.466	76.335	50.005	52.654	109.889	107.021	52.239	113.339
20260815	none,uncontrolled,selective,all	102.086	154.969	135.877	126.962	36.102	52.960	7.022	213.115	164.961	106.670	77.405	50.053	54.646	104.319	108.796	49.267	115.694
20260815	all,selective,uncontrolled,none	101.899	155.111	134.029	127.363	39.619	52.146	5.234	213.052	162.985	105.700	76.500	49.612	54.196	104.641	108.410	50.007	112.978
20260816	none,uncontrolled,selective,all	101.921	149.861	132.345	126.649	36.537	48.419	4.497	215.169	163.415	106.239	75.947	49.375	53.818	107.631	107.538	51.596	111.819
20260816	all,selective,uncontrolled,none	101.491	148.570	130.754	125.702	37.843	48.574	4.019	215.810	164.444	106.606	76.199	49.398	54.254	108.552	107.259	51.231	113.213
20260817	none,uncontrolled,selective,all	100.359	146.766	130.883	125.737	34.225	45.314	4.093	215.222	166.134	104.428	77.192	48.521	59.090	104.376	110.846	50.283	115.850
20260817	all,selective,uncontrolled,none	100.176	148.452	131.251	125.018	35.631	48.542	4.986	215.377	165.742	108.296	76.954	50.282	53.045	105.996	109.381	50.582	115.160
20260818	none,uncontrolled,selective,all	100.746	145.584	129.944	124.308	34.881	47.451	4.534	215.970	166.747	108.857	77.208	50.404	53.180	106.909	109.061	50.214	116.532
20260818	all,selective,uncontrolled,none	100.527	145.574	129.423	124.623	35.854	46.509	3.852	216.700	166.096	105.549	76.648	48.707	57.364	107.905	108.795	50.957	115.138
