direction	condition	victim_elapsed_sec	victim_reads	victim_ns_per_read	o0_Mload_per_sec	o25_Mload_per_sec	o50_Mload_per_sec	o75_Mload_per_sec	o100_Mload_per_sec	total_bg_Mload_per_sec
forward	none	10.000293	98664448	101.357	0.000	0.000	0.000	0.000	0.000	0.000
forward	uncontrolled	10.000197	42274816	236.552	67.964	55.589	53.744	55.463	67.177	299.937
forward	lowest	10.000435	41955328	238.359	32.976	60.273	57.250	58.048	66.109	274.655
forward	highest	10.000303	49709056	201.177	67.238	59.162	57.853	61.141	32.551	277.944
forward	top2	10.000269	54386688	183.873	72.567	66.108	65.697	28.494	34.475	267.341
forward	all	10.000186	64061440	156.103	41.995	38.640	45.862	37.595	40.882	204.973
reverse	all	10.000019	65638400	152.350	44.458	39.723	36.395	38.366	46.713	205.655
reverse	top2	10.000015	54861824	182.276	71.532	65.280	65.432	32.014	39.662	273.920
reverse	highest	10.000141	50233344	199.074	67.429	59.115	58.093	61.034	32.694	278.365
reverse	lowest	10.000595	42729472	234.044	33.326	60.685	57.682	58.421	66.598	276.713
reverse	uncontrolled	10.000113	42409984	235.796	68.152	55.703	53.756	55.509	67.231	300.350
reverse	none	10.000132	99110912	100.898	0.000	0.000	0.000	0.000	0.000	0.000
