direction	metric	value
forward	uncontrolled_vs_none_latency_pct	133.386
forward	lowest_vs_none_latency_pct	135.169
forward	lowest_recovery_pct	-1.337
forward	lowest_bg_retention_pct	91.571
forward	highest_vs_none_latency_pct	98.484
forward	highest_recovery_pct	26.166
forward	highest_bg_retention_pct	92.668
forward	top2_vs_none_latency_pct	81.412
forward	top2_recovery_pct	38.965
forward	top2_bg_retention_pct	89.132
forward	all_vs_none_latency_pct	54.014
forward	all_recovery_pct	59.506
forward	all_bg_retention_pct	68.339
forward	highest_vs_lowest_victim_latency_pct	-15.599
forward	highest_vs_lowest_bg_throughput_pct	1.198
reverse	uncontrolled_vs_none_latency_pct	133.697
reverse	lowest_vs_none_latency_pct	131.961
reverse	lowest_recovery_pct	1.299
reverse	lowest_bg_retention_pct	92.130
reverse	highest_vs_none_latency_pct	97.301
reverse	highest_recovery_pct	27.222
reverse	highest_bg_retention_pct	92.680
reverse	top2_vs_none_latency_pct	80.653
reverse	top2_recovery_pct	39.674
reverse	top2_bg_retention_pct	91.200
reverse	all_vs_none_latency_pct	50.994
reverse	all_recovery_pct	61.859
reverse	all_bg_retention_pct	68.472
reverse	highest_vs_lowest_victim_latency_pct	-14.942
reverse	highest_vs_lowest_bg_throughput_pct	0.597
