direction	condition	o100_cpu_allow_pct	victim_elapsed_sec	victim_reads	victim_ns_per_read	o0_Mload_per_sec	o25_Mload_per_sec	o50_Mload_per_sec	o75_Mload_per_sec	o100_Mload_per_sec	total_bg_Mload_per_sec
forward	none	0	10.000356	98861056	101.156	0.000	0.000	0.000	0.000	0.000	0.000
forward	uncontrolled	100	10.000550	43429888	230.269	68.281	55.735	53.785	55.536	67.236	300.574
forward	cpu75	75	10.000567	46731264	214.002	67.448	57.212	55.771	58.054	49.373	287.859
forward	cpu50	50	10.000443	50925568	196.374	67.404	58.993	57.939	60.859	32.567	277.764
forward	cpu25	25	10.000260	54562816	183.280	66.915	60.583	60.163	63.573	16.076	267.309
forward	cpu10	10	10.000376	57348096	174.380	66.793	61.559	61.351	65.132	6.195	261.030
reverse	cpu10	10	10.000273	56332288	177.523	66.474	62.097	61.317	65.717	6.206	261.810
reverse	cpu25	25	10.000218	54153216	184.665	66.838	61.131	60.235	63.830	16.074	268.108
reverse	cpu50	50	10.000488	49856512	200.585	67.334	59.025	58.133	60.938	32.668	278.097
reverse	cpu75	75	10.000009	45989888	217.439	67.570	57.411	55.874	58.153	49.554	288.562
reverse	uncontrolled	100	10.000114	42246144	236.711	67.932	55.703	53.845	55.532	67.164	300.175
reverse	none	0	10.000220	98807808	101.209	0.000	0.000	0.000	0.000	0.000	0.000
