direction	metric	value
forward	uncontrolled_vs_none_latency_pct	127.638
forward	cpu75_o100_cpu_allow_pct	75
forward	cpu75_vs_none_latency_pct	111.557
forward	cpu75_recovery_pct	12.599
forward	cpu75_total_bg_retention_pct	95.770
forward	cpu75_o100_retention_pct	73.433
forward	cpu75_recovery_per_total_bg_loss	2.978
forward	cpu50_o100_cpu_allow_pct	50
forward	cpu50_vs_none_latency_pct	94.130
forward	cpu50_recovery_pct	26.252
forward	cpu50_total_bg_retention_pct	92.411
forward	cpu50_o100_retention_pct	48.438
forward	cpu50_recovery_per_total_bg_loss	3.459
forward	cpu25_o100_cpu_allow_pct	25
forward	cpu25_vs_none_latency_pct	81.186
forward	cpu25_recovery_pct	36.394
forward	cpu25_total_bg_retention_pct	88.933
forward	cpu25_o100_retention_pct	23.910
forward	cpu25_recovery_per_total_bg_loss	3.289
forward	cpu10_o100_cpu_allow_pct	10
forward	cpu10_vs_none_latency_pct	72.388
forward	cpu10_recovery_pct	43.287
forward	cpu10_total_bg_retention_pct	86.844
forward	cpu10_o100_retention_pct	9.213
forward	cpu10_recovery_per_total_bg_loss	3.290
reverse	uncontrolled_vs_none_latency_pct	133.884
reverse	cpu75_o100_cpu_allow_pct	75
reverse	cpu75_vs_none_latency_pct	114.842
reverse	cpu75_recovery_pct	14.222
reverse	cpu75_total_bg_retention_pct	96.131
reverse	cpu75_o100_retention_pct	73.782
reverse	cpu75_recovery_per_total_bg_loss	3.676
reverse	cpu50_o100_cpu_allow_pct	50
reverse	cpu50_vs_none_latency_pct	98.190
reverse	cpu50_recovery_pct	26.660
reverse	cpu50_total_bg_retention_pct	92.645
reverse	cpu50_o100_retention_pct	48.639
reverse	cpu50_recovery_per_total_bg_loss	3.625
reverse	cpu25_o100_cpu_allow_pct	25
reverse	cpu25_vs_none_latency_pct	82.460
reverse	cpu25_recovery_pct	38.409
reverse	cpu25_total_bg_retention_pct	89.317
reverse	cpu25_o100_retention_pct	23.933
reverse	cpu25_recovery_per_total_bg_loss	3.596
reverse	cpu10_o100_cpu_allow_pct	10
reverse	cpu10_vs_none_latency_pct	75.403
reverse	cpu10_recovery_pct	43.680
reverse	cpu10_total_bg_retention_pct	87.219
reverse	cpu10_o100_retention_pct	9.240
reverse	cpu10_recovery_per_total_bg_loss	3.418
